name,address,address_2,address_3,city,postal_code,province,country,contact,telephone,telephone_extension,fax,toll_free,contact_email,appointments,notes,internal_notes,major_intersection,hours
"KROGER , FREMONT, OH",,,,Fremont,43420,OH,USA,,,,,,,0,,,,
"**CASH-WA DISTRIBUTING**",,,,Aberdeen,57401,SD,USA,,,,,,,0,,,,
"*HUHTAMAKI BATAVIA DIST - NORTH SIDE*",,,,Batavia,45103,OH,USA,,,,,,,0,,,,
00060,,,,Madison,53704,WI,USA,,,,,,,0,,,,
00094,,,,Burnsville,55337,MN,USA,,,,,,,0,,,,
015,"192 MAIN ST.",,,Shrewsbury,01546,MA,USA,,,,,,,0,,,,
"0241 LEHIGH VALLEY DC",,,,Kutztown,19530,PA,USA,,,,,,,0,,,,
"030 - MANCHESTER NH",,,,Manchester,03103,NH,USA,,,,,,,0,,,,
"0305 OCEAN SPRAY TOMAH",,,,Tomah,54660,WI,USA,,,,,,,0,,,,
"072NG - Piittney Bowes",,,,Monroe,08831,NJ,USA,,,,,,,0,,,,
"08MTE - PHILADELPHIA MTESC",,,,Barrington,08007,NJ,USA,,,,,,,0,,,,
"1 EAST INDUSTRIAL BLVD",,,,Maynard,56260,MN,USA,,,,,,,0,,,,
"1 NESTLE COURT",,,,Mcdonough,30253,GA,USA,,,,,,,0,,,,
"101 S H MORGAN PKWY",,,,Bloomingdale,,GA,USA,,,,,,,0,,,,
"128 COLEMAN BLVD. PLANT#2",,,,Savannah,31408,GA,USA,,,,,,,0,,,,
"130 - SYRACUSE P&DC",,,,Syracuse,13220,NY,USA,,,,,,,0,,,,
"1345 TIPP CITY - ABBOTT",,,,"Tipp City",,OH,USA,,,,,,,0,,,,
"1350 BRASELTON PARKWAY",,,,Braselton,30517,GA,USA,,,,,,,0,,,,
"1480 iNTERNATIONAL DR",,,,Georgetown,29440,SC,USA,,,,,,,0,,,,
"1500 BARTLETT",,,,York,17406,PA,USA,,,,,,,0,,,,
16203-CNG-BYLTHEWOOD,,,,Blythewood,10771,SC,USA,,,,,,,0,,,,
"164 KNOXVILLE",,,,Knoxville,,TN,USA,,,,,,,0,,,,
"17203-CNG - BLOOMER",,,,Bloomer,54724,WI,USA,,,,,,,0,,,,
"1840 CORPORATE WOODS DR",,,,Alabaster,,AL,USA,,,,,,,0,,,,
"1858 EMELTON PA",,,,Emlenton,,PA,USA,,,,,,,0,,,,
"1859 STERLING PA",,,,"Lake Ariel",,PA,USA,,,,,,,0,,,,
"192 BMBCC MONTICELLO",,,,Monticello,47960,IN,USA,,,,,,,0,,,,
"1941 Engel Rd, Wisconsin Rapids, WI",,,,"Wisconsin Rapids",54495,WI,USA,,,,,,,0,,,,
"208 YE-C&M FORWARDING",,,,"North Chili",14514,NY,USA,,,,,,,0,,,,
"210 AUTONATION WAY",,,,Birmingham,35210,AL,USA,,,,,,,0,,,,
"21C OATS LLC/ RICHARDSON MILLING INC",,,,"South Sioux City",68776,NE,USA,,,,,,,0,,,,
"21ST CENTURY DISTRIBUTION",,,,Edison,08817,NJ,USA,,,,,,,0,,,,
"22793 RTE, 66 N, PA",,,,Shippenville,16254,PA,USA,,,,,,,0,,,,
"250 EMERALD DR",,,,Joliet,60433,IL,USA,,,,,,,0,,,,
"2515 US HIGHWAY 78",,,,Moody,,AL,USA,,,,,,,0,,,,
"2547 PROGRESS ROAD",,,,Madison,53716,WI,USA,,,,,,,0,,,,
"25MTE - Martinsburg MTESC",,,,Martinsburg,25403,WV,USA,,,,,,,0,,,,
"278 FRANK L DIGGS DR",,,,Clinton,37716,TN,USA,,,,,,,0,,,,
"2H WAREHOUSE",,,,"Richland Center",53581,WI,USA,,,,,,,0,,,,
3025,,,,Melrose,60160,IL,USA,,,,,,,0,,,,
"30384-LEBANON, KY 4003",,,,Lebanon,40033,KY,USA,,,,,,,0,,,,
"304  IWI - ANDERSON",,,,Anderson,46011,IN,USA,,,,,,,0,,,,
"3240 SIMPSON FERRY RD",,,,"Camp Hill",17011,PA,USA,,,,,,,0,,,,
"32906-OMAHA, NE, 68138",,,,Omaha,68138,NE,USA,,,,,,,0,,,,
"33 - Batavia",,,,Batavia,14020,NY,USA,,,,,,,0,,,,
33791-LINCOLN,,,,Lincoln,68507,NE,USA,,,,,,,0,,,,
351/DALTILE/ELDERSBURG,,,,Eldersburg,21784,MD,USA,,,,,,,0,,,,
"3M (Cottage Grove, MN)",,,,"Cottage Grove",55016,MN,USA,,,,,,,0,,,,
"3M CLINTON",,,,Clinton,37716,TN,USA,,,,,,,0,,,,
"3M CO",,,,Hutchinson,55350,MN,USA,,,,,,,0,,,,
"3M COMPANY 3MCH1",,,,"Chippewa Falls",54729,WI,USA,,,,,,,0,,,,
"3M OLD HICKORY",,,,"Old Hickory",37138,TN,USA,,,,,,,0,,,,
"420 - CINCINNATI, OH",,,,Cincinnati,45217,OH,USA,,,,,,,0,,,,
"440 - CLEVELAND P&DC",,,,Cleveland,44101,OH,USA,,,,,,,0,,,,
"440 - COLUMBUS P&DC",,,,Columbus,43218,OH,USA,,,,,,,0,,,,
"446 FARMS",,,,Vardaman,388878,MS,USA,,,,,,,0,,,,
